"","hsa01521","hsa01522","hsa01523","hsa01524","hsa03013","hsa03015","hsa03018","hsa03440","hsa03460","hsa04010","hsa04012","hsa04014","hsa04015","hsa04020","hsa04022","hsa04024","hsa04060","hsa04062","hsa04064","hsa04066","hsa04068","hsa04071","hsa04072","hsa04080","hsa04110","hsa04114","hsa04115","hsa04122","hsa04130","hsa04136","hsa04137","hsa04140","hsa04141","hsa04150","hsa04151","hsa04152","hsa04210","hsa04211","hsa04213","hsa04217","hsa04218","hsa04261","hsa04270","hsa04310","hsa04330","hsa04340","hsa04350","hsa04360","hsa04370","hsa04371","hsa04380","hsa04390","hsa04392","hsa04510","hsa04512","hsa04514","hsa04520","hsa04530","hsa04540","hsa04550","hsa04610","hsa04611","hsa04612","hsa04614","hsa04620","hsa04621","hsa04622","hsa04623","hsa04625","hsa04630","hsa04650","hsa04657","hsa04658","hsa04659","hsa04660","hsa04662","hsa04664","hsa04666","hsa04668","hsa04670","hsa04672","hsa04710","hsa04713","hsa04714","hsa04720","hsa04722","hsa04723","hsa04724","hsa04725","hsa04726","hsa04727","hsa04728","hsa04730","hsa04740","hsa04742","hsa04744","hsa04750","hsa04810","hsa04910","hsa04911","hsa04912","hsa04913","hsa04914","hsa04915","hsa04916","hsa04917","hsa04918","hsa04919","hsa04920","hsa04921","hsa04922","hsa04923","hsa04924","hsa04925","hsa04926","hsa04927","hsa04928","hsa04930","hsa04931","hsa04932","hsa04933","hsa04934","hsa04940","hsa04950","hsa04960","hsa04961","hsa04962","hsa04970","hsa04971","hsa04972","hsa04973","hsa04976","hsa04979","hsa05010","hsa05012","hsa05014","hsa05016","hsa05020","hsa05030","hsa05031","hsa05032","hsa05034","hsa05100","hsa05110","hsa05120","hsa05130","hsa05131","hsa05132","hsa05133","hsa05134","hsa05140","hsa05142","hsa05143","hsa05144","hsa05145","hsa05146","hsa05150","hsa05152","hsa05160","hsa05161","hsa05162","hsa05163","hsa05164","hsa05165","hsa05166","hsa05167","hsa05168","hsa05169","hsa05200","hsa05203","hsa05205","hsa05206","hsa05210","hsa05211","hsa05212","hsa05213","hsa05214","hsa05215","hsa05216","hsa05217","hsa05218","hsa05219","hsa05220","hsa05221","hsa05222","hsa05223","hsa05224","hsa05225","hsa05226","hsa05230","hsa05231","hsa05310","hsa05320","hsa05321","hsa05322","hsa05323","hsa05330","hsa05332","hsa05412","hsa05414","hsa05416","hsa05418","hsa04150v1","hsa04150v2"
"DDR1",NA,-1.13885106527082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.07471938171281,NA,NA,NA,NA,NA,NA,0.765835130854729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.445570015257871,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.893750038334716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89125743567615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49897697743756,NA,NA,NA,NA,NA,NA,-1.6374818343135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.31088103959197,NA,NA,NA,NA,-1.53827829333974,NA,NA,NA,1.17713291394454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.09288293849417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.16842056473242,NA,NA,NA,NA,-1.98631527305142,NA,NA,NA,NA,NA,NA,NA,NA,3.8606314692968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27860723130615,NA,-1.17199477620678,NA
"PAX8",-2.97112395861488,-1.16693445342953,NA,2.58300716905453,NA,NA,NA,NA,NA,-0.410819065821272,5.45720233794737,-5.54738140642623,NA,NA,NA,NA,NA,5.75353236122867,-2.58445599021639,1.47489747938301,NA,-2.79078162792914,-4.50579500224951,NA,NA,NA,4.88160747881924,NA,0.650687986926222,NA,NA,NA,NA,NA,2.71797071309867,NA,-0.181395421180597,NA,1.09693313070435,-1.64319695379167,-1.34348016585646,NA,NA,1.61431478676424,NA,NA,NA,NA,1.33732771672937,-4.92480818051382,NA,2.98625318324007,NA,NA,3.96600971441676,NA,NA,NA,-3.49040315168182,-1.8021539068859,NA,NA,NA,NA,NA,2.31484540760638,NA,-2.2557864196569,-3.3973782709926,-0.25620993964066,4.63249191376734,NA,NA,2.29693432329562,-0.734204310442964,-2.98295814098315,NA,3.16535450054269,NA,NA,NA,1.39217456405321,NA,NA,NA,NA,2.80129706002226,NA,-1.84489126714214,-2.7764272034301,NA,NA,-1.39198951249812,NA,NA,NA,-2.36729988914382,4.52544101692069,NA,0.919910196284515,-5.3039722738488,NA,NA,NA,-1.0735513808578,-3.93313343713794,2.86256302842891,1.73078032884433,NA,NA,NA,-1.14876515952613,-0.322917852085137,1.94835347610624,-2.9391903024317,1.54640417111106,NA,NA,NA,3.08032989995169,NA,1.16855781361166,NA,NA,NA,NA,1.72693025224794,NA,-1.92193827296404,NA,NA,NA,NA,2.50655245099334,NA,1.85666037830216,NA,NA,NA,0.566141978504466,NA,NA,-0.678143383215122,NA,-3.85499932349085,NA,-3.82688600696511,NA,1.35840848861162,NA,-4.03447548523662,NA,NA,NA,-4.44302821809739,NA,NA,-2.59156218227389,-0.386624904127405,-1.39631725100977,-2.67957493707743,NA,-2.60563834653251,-0.725457491065847,1.49203974838563,-1.76087581191112,0.581951218283633,-2.42624922712338,4.07264166696772,NA,2.21536256679404,-0.781029285149973,-4.67417300639168,NA,-1.92903793342185,0.0553882333684106,-1.75238080558979,-2.43410051552045,NA,NA,-1.19986721009283,NA,0.0227030774852996,-4.66874007626664,-0.0141919390533824,-2.72369336778555,-2.76127801174049,0.852069589735025,-2.7134664553526,-0.281328436406147,NA,NA,NA,1.7220841426331,NA,NA,NA,NA,NA,NA,-0.966547730923785,-2.54800200404922,NA,NA
"RPS5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.19173608415031,NA,NA,NA,NA,NA,NA,NA,-0.592987014305945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.992541613093595,-1.18537768134681,NA,NA,NA,-0.503141863526099,-1.65354588417371,0.549235981261908,NA,NA,NA,-1.14065511935517,2.13593562418392,NA,NA,NA,NA,-0.019937616047693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000582006008835567,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72217161038496,NA,NA,NA,-1.60994298577066,-1.75691810207762,NA,NA,NA,NA,1.70783030410813,NA,NA,-0.450736390336971,NA,NA,NA,1.54052510335984,NA,NA,NA,NA,NA,NA,-2.58862462512975,NA,NA,NA,NA,-2.28576485399342,NA,NA,-1.39281657657279,0.712340937253472,NA,1.15346735260951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.280367167069815,NA,0.399028231167324,NA,NA,NA,NA,NA,NA,NA,NA
"SPAG7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6570378070952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.35704001087831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26500559186228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5117483725585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RHOA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.932835272459921,2.62863424126569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56341699114371,NA,-0.837407644684993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.23783222381421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.38027852430487,NA,NA,NA,NA,NA,NA,1.15607611555075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.44773075206248,NA,NA,NA,NA,NA,-3.76493519313563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.87090752745333,-2.7017425876833,NA,NA,NA,NA,NA,NA,-1.82889683360157,NA,4.00320178807732,NA,NA,NA,NA,NA,-3.79475850274201,NA,6.77589146763524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96090022511573,1.51275304053533,NA,NA,NA,NA,NA,NA,NA,NA,-1.37046166334423,NA,NA,NA,NA,2.10935546556788,NA,NA,NA,NA,NA,4.93499145243131,2.47894702960188,NA
"RNPS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.96352942996845,NA,NA,NA,-0.833618264090122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77004561900899,NA,NA,NA,NA,NA,NA,3.55060391407847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0013290896171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.19371591015644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMNDC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.81163570473366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.43780888489608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.21650368939256,NA,NA,NA,NA,NA,NA,NA,NA
"ATP6V0B",-1.1382621331109,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2719222230266,NA,NA,NA,NA,NA,NA,0.982706758239131,NA,1.69699886573575,NA,NA,NA,NA,NA,NA,NA,NA,-0.765524881922985,NA,NA,NA,NA,-3.0810593427909,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26109634144006,NA,NA,NA,NA,NA,NA,NA,-1.31145129957265,NA,NA,NA,NA,NA,NA,-0.772311594856342,NA,NA,NA,NA,NA,NA,1.53421603431592,-1.28608215593143,-1.32793947220973,NA,-1.04674504574306,NA,NA,-1.20824709465637,1.55787158503978,-1.90818709523302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.21940901014707,NA,NA,-1.33492922118666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.515265192521816,NA,NA,NA,NA,NA,NA,-0.798433878015487,-0.23076011483051,NA,-1.27779091385974,-1.98838040372531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.48755769572777,NA,NA,NA,NA,NA,NA,-1.94631469662426,NA,NA,NA,2.2981186883812,NA,NA,NA,-2.12809277314519,NA,-0.940414410484493,-2.10456023396686,NA,-3.1255262444745,NA,2.38297306354824,NA,2.27943095101536,NA,NA,NA,NA,NA,NA,NA,NA,-0.9852396122842,NA,NA,-0.777002026381459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18371229026875,NA,NA
"RPS6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.424990271023412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.26875176229525,NA,-1.31808604479634,NA,NA,NA,NA,NA,NA,NA,NA,1.25566663341938,NA,NA,-0.400695609725809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11663088780132,NA,NA,-2.11686129297212,NA,NA,1.1910747767039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
