"","hsa01521","hsa01522","hsa01523","hsa01524","hsa03013","hsa03015","hsa03018","hsa03440","hsa03460","hsa04010","hsa04012","hsa04014","hsa04015","hsa04020","hsa04022","hsa04024","hsa04060","hsa04062","hsa04064","hsa04066","hsa04068","hsa04071","hsa04072","hsa04080","hsa04110","hsa04114","hsa04115","hsa04122","hsa04130","hsa04136","hsa04137","hsa04140","hsa04141","hsa04150","hsa04151","hsa04152","hsa04210","hsa04211","hsa04213","hsa04217","hsa04218","hsa04261","hsa04270","hsa04310","hsa04330","hsa04340","hsa04350","hsa04360","hsa04370","hsa04371","hsa04380","hsa04390","hsa04392","hsa04510","hsa04512","hsa04514","hsa04520","hsa04530","hsa04540","hsa04550","hsa04610","hsa04611","hsa04612","hsa04614","hsa04620","hsa04621","hsa04622","hsa04623","hsa04625","hsa04630","hsa04650","hsa04657","hsa04658","hsa04659","hsa04660","hsa04662","hsa04664","hsa04666","hsa04668","hsa04670","hsa04672","hsa04710","hsa04713","hsa04714","hsa04720","hsa04722","hsa04723","hsa04724","hsa04725","hsa04726","hsa04727","hsa04728","hsa04730","hsa04740","hsa04742","hsa04744","hsa04750","hsa04810","hsa04910","hsa04911","hsa04912","hsa04913","hsa04914","hsa04915","hsa04916","hsa04917","hsa04918","hsa04919","hsa04920","hsa04921","hsa04922","hsa04923","hsa04924","hsa04925","hsa04926","hsa04927","hsa04928","hsa04930","hsa04931","hsa04932","hsa04933","hsa04934","hsa04940","hsa04950","hsa04960","hsa04961","hsa04962","hsa04970","hsa04971","hsa04972","hsa04973","hsa04976","hsa04979","hsa05010","hsa05012","hsa05014","hsa05016","hsa05020","hsa05030","hsa05031","hsa05032","hsa05034","hsa05100","hsa05110","hsa05120","hsa05130","hsa05131","hsa05132","hsa05133","hsa05134","hsa05140","hsa05142","hsa05143","hsa05144","hsa05145","hsa05146","hsa05150","hsa05152","hsa05160","hsa05161","hsa05162","hsa05163","hsa05164","hsa05165","hsa05166","hsa05167","hsa05168","hsa05169","hsa05200","hsa05203","hsa05205","hsa05206","hsa05210","hsa05211","hsa05212","hsa05213","hsa05214","hsa05215","hsa05216","hsa05217","hsa05218","hsa05219","hsa05220","hsa05221","hsa05222","hsa05223","hsa05224","hsa05225","hsa05226","hsa05230","hsa05231","hsa05310","hsa05320","hsa05321","hsa05322","hsa05323","hsa05330","hsa05332","hsa05412","hsa05414","hsa05416","hsa05418","hsa04150v1","hsa04150v2"
"DDR1",NA,2.76118352650077,NA,NA,NA,NA,NA,NA,NA,3.24726234394452,NA,3.82506277710335,NA,NA,NA,NA,NA,5.03653581883315,NA,NA,2.65216861659359,NA,NA,NA,NA,NA,2.19963174526597,NA,1.63733673566713,NA,NA,NA,NA,NA,NA,2.38842206951366,NA,2.13546429705292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.34732216502824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6714452317135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.40076570103827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.16908336579871,NA,NA,NA,NA,NA,NA,NA,-3.95451758772845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.27330884052516,NA,NA,NA,NA,NA,NA,-0.282832939727196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07636416198804,NA,NA,NA,2.9039028921901,NA,NA,NA,-2.87818028028653,NA,NA,NA,NA,1.80868603578716,1.74726532150757,3.76037796664582,NA,-1.74662634690332,NA,3.75925320158241,NA,NA,NA,3.0371878030378,NA,-2.9461870907892,NA,3.12527667631673,NA,3.86160376279365,3.25721424351651,-3.9603400259561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.03001379489536,NA
"PAX8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.27063114097135,NA,NA,NA,NA,NA,NA,NA,NA,-1.34540764763262,NA,NA,NA,NA,NA,NA,NA,NA,1.62834072395599,NA,NA,NA,NA,NA,NA,NA,-0.896919547265442,NA,NA,NA,NA,NA,1.52223885060485,NA,NA,NA,NA,NA,NA,NA,-2.99783577309418,-1.09831324611339,NA,NA,-1.3233307463185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.484512842340282,NA,NA,NA,4.34386800810187,NA,NA,-2.57045359948786,-0.841130678007519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49678432075143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50941353335088,NA,NA,NA,NA,NA,NA,-1.58157187882839,2.58624500132318,NA,NA,-1.12298321318111,NA,-1.2768103624179,NA,NA,NA,NA,-1.34760274933273,NA,1.95554281954854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994894674348558,NA,NA,NA,NA,NA,NA,-1.60499000026453,-2.20472037153961,NA,NA,-1.54932095990324,NA,NA,NA,0.93794779676157,-0.48859993289404,NA,NA,NA,NA,2.36723485801387,NA,NA,NA,NA,NA,2.78778059794724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08353469435505,NA,2.9677968698811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.60310221587393,NA,1.3656941086731,NA,NA,NA,NA,NA,NA,NA,NA
"RPS5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCF1",NA,NA,NA,1.22968664571706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56448342994403,-1.73934457970754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.880274544650083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67840948960126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22872037318553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.308179370357638,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16491691987211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.897641422595705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPAG7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.97613658975622,NA,NA,NA,NA,NA,NA,NA,NA,1.60817656504874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.03382370689197,NA,NA,NA,NA,NA,NA,NA,-2.04987689744357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.603649371136684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.33035670074507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.38661836193485,NA,NA,NA,NA,NA,NA,NA,NA,0.804563500851461,NA,3.16994379689302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17527917542519,NA,1.32401500127046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.69043134777077,NA,NA,NA,NA,NA,1.89678671920187,NA,3.35422061507767,NA,NA,-1.84135791179549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32001449179623,NA,NA,NA
"RHOA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNPS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMNDC1",NA,-0.0746595072755205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.46184356461905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15556408019789,NA,NA,NA,NA,NA,NA,1.19160100031915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.42506242613691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.87592673693256,NA,-1.17053596126603,NA,NA,2.14906296765027,NA,NA,NA,NA,NA,NA,-1.40861204002034,NA,NA,NA,NA,NA,NA,NA,-1.10564058768668,NA,NA,1.19239413797358,NA,0.302072875770265,NA,NA,NA,NA,NA,-0.47384429117629,-1.57217462853417,NA,1.78857127284789,-1.28193168256163,NA,NA,-0.26394698079526,NA,NA,NA,NA,NA,-0.152828001019702,-1.95737521688141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29257197896899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.81077478198468,NA,NA,NA,4.11370587078837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.30069808543182,NA
"ATP6V0B",-0.415104268616821,NA,NA,-2.92782333514414,NA,NA,NA,NA,NA,-2.42705266287051,NA,NA,NA,NA,2.41553479774416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.36417941939716,2.65379183665916,NA,2.46151249149419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.70091416365197,NA,NA,NA,NA,NA,NA,NA,-0.575026502283453,NA,NA,NA,NA,-1.49360069383546,NA,NA,NA,NA,NA,NA,NA,NA,-1.4491339987158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.07556114566759,NA,NA,NA,NA,NA,NA,-1.27681343475572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11680855472926,NA,NA,NA,NA,NA,NA,-1.79635217119894,NA,NA,NA,NA,-1.4526598942879,NA,NA,NA,NA,NA,NA,1.66758454384091,NA,NA,NA,NA,NA,NA,NA,NA,2.9273104426686,NA,NA,3.17654675543446,NA,-2.62570892901236,NA,NA,NA,NA,1.75089851957055,NA,NA,NA,NA,NA,NA,-1.06081414570892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0652649501704955,-2.07615210728314,-0.5828765965539,-0.93050313818731,-1.45610710800104,NA,-1.59360375566027,NA,NA,NA,NA,NA,-1.61829629987583,NA,NA,NA,NA,NA,NA,-1.59040980588694,NA
"RPS6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
