"","hsa01521","hsa01522","hsa01523","hsa01524","hsa03013","hsa03015","hsa03018","hsa03440","hsa03460","hsa04010","hsa04012","hsa04014","hsa04015","hsa04020","hsa04022","hsa04024","hsa04060","hsa04062","hsa04064","hsa04066","hsa04068","hsa04071","hsa04072","hsa04080","hsa04110","hsa04114","hsa04115","hsa04122","hsa04130","hsa04136","hsa04137","hsa04140","hsa04141","hsa04150","hsa04151","hsa04152","hsa04210","hsa04211","hsa04213","hsa04217","hsa04218","hsa04261","hsa04270","hsa04310","hsa04330","hsa04340","hsa04350","hsa04360","hsa04370","hsa04371","hsa04380","hsa04390","hsa04392","hsa04510","hsa04512","hsa04514","hsa04520","hsa04530","hsa04540","hsa04550","hsa04610","hsa04611","hsa04612","hsa04614","hsa04620","hsa04621","hsa04622","hsa04623","hsa04625","hsa04630","hsa04650","hsa04657","hsa04658","hsa04659","hsa04660","hsa04662","hsa04664","hsa04666","hsa04668","hsa04670","hsa04672","hsa04710","hsa04713","hsa04714","hsa04720","hsa04722","hsa04723","hsa04724","hsa04725","hsa04726","hsa04727","hsa04728","hsa04730","hsa04740","hsa04742","hsa04744","hsa04750","hsa04810","hsa04910","hsa04911","hsa04912","hsa04913","hsa04914","hsa04915","hsa04916","hsa04917","hsa04918","hsa04919","hsa04920","hsa04921","hsa04922","hsa04923","hsa04924","hsa04925","hsa04926","hsa04927","hsa04928","hsa04930","hsa04931","hsa04932","hsa04933","hsa04934","hsa04940","hsa04950","hsa04960","hsa04961","hsa04962","hsa04970","hsa04971","hsa04972","hsa04973","hsa04976","hsa04979","hsa05010","hsa05012","hsa05014","hsa05016","hsa05020","hsa05030","hsa05031","hsa05032","hsa05034","hsa05100","hsa05110","hsa05120","hsa05130","hsa05131","hsa05132","hsa05133","hsa05134","hsa05140","hsa05142","hsa05143","hsa05144","hsa05145","hsa05146","hsa05150","hsa05152","hsa05160","hsa05161","hsa05162","hsa05163","hsa05164","hsa05165","hsa05166","hsa05167","hsa05168","hsa05169","hsa05200","hsa05203","hsa05205","hsa05206","hsa05210","hsa05211","hsa05212","hsa05213","hsa05214","hsa05215","hsa05216","hsa05217","hsa05218","hsa05219","hsa05220","hsa05221","hsa05222","hsa05223","hsa05224","hsa05225","hsa05226","hsa05230","hsa05231","hsa05310","hsa05320","hsa05321","hsa05322","hsa05323","hsa05330","hsa05332","hsa05412","hsa05414","hsa05416","hsa05418","hsa04150v1","hsa04150v2"
"DDR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55375055919882,NA,-1.6812439611135,NA,NA,NA,NA,NA,NA,NA,NA,-0.669279094888499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33386984878622,NA,NA,NA,NA,NA,NA,-2.19548747602665,-1.41145053140206,NA,NA,NA,NA,NA,NA,NA,2.02606116120728,NA,NA,3.4727848040561,NA,NA,NA,2.1533100897847,1.15914260338696,NA,NA,NA,NA,2.4546009086895,0.236042240724543,NA,NA,NA,NA,1.9167051621544,NA,NA,-1.45953336345754,NA,NA,NA,NA,NA,NA,NA,NA,1.5661021006166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60094577546265,NA,2.05383767131018,NA,NA,NA,NA,1.85310824539384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.805063831446128,NA,NA,NA,NA,NA,0.649353609809398,NA,NA,NA,NA,NA,NA,-1.28454025946428,NA,NA,NA,0.0955479860862868,NA,NA,NA,NA,NA,NA,NA,NA,-2.14388332153111,NA,NA,NA,NA,NA,NA,-1.11229450624778,NA,NA,-1.88785442495573,-0.462933361679425,1.19605920313997,NA,NA,1.37308008956837,NA,NA,NA,2.38059109952018,0.424242404469409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.918788519169085
"PAX8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.896641106210165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.81571325787122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.368326144593559,-1.63300241948407,NA,-0.774812421077575,NA,0.122718028841943,NA,NA,NA,NA,NA,NA,NA,NA,2.68388680254213,NA,NA,NA,NA,NA,NA,-2.16167095438747,-1.83724739065058,NA,NA,-1.23073386427229,NA,NA,NA,NA,NA,2.62652089057113,NA,NA,NA,NA,-1.86140730519155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63330738817572,-1.28267085955213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11752322283903,NA,NA,NA,0.585971218409557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5047951959062,NA,NA,NA,NA,NA,-1.77206667012576,NA,NA,NA,NA,NA,NA,NA,-1.10187754491607,NA,NA,0.441005468253628,NA,NA,NA,NA,NA,-1.38780589459091,NA,NA,NA,NA,NA,0.392874655493946,NA,NA,1.40433548912418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.88136366602184,-2.43988870839181,NA,NA,NA,NA,-2.68957780527278,NA,NA,NA,NA,NA,2.2352362697167,2.70252689497522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.878795403876842,NA,2.22747398028352,2.37524683746285
"RPS5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.933998011533303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56813161058903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCF1",NA,-1.81107109600504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.52705085679241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11708526279893,NA,-3.38753178730285,NA,NA,NA,NA,NA,NA,-2.54860532818374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.989055428154052,2.07386373151494,NA,NA,NA,NA,1.62231882472005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.9621401220746,-0.984098656338466,NA,NA,-3.07629216283325,NA,-1.63742282770776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19923801071443,NA,NA,NA,1.76312356260788,NA,NA,NA,NA,NA,2.80360467057107,NA,NA,NA,NA,-2.45113525513912,NA,-1.83551610209495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06091519086718,NA,NA,NA,NA,NA,NA,NA,NA,-1.13749075088501,NA,-1.57861869153764,NA,NA,NA,NA,1.4692013428734,NA,NA,NA
"SPAG7",NA,2.63904732232941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.34774940508952,NA,-0.945129825581311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36139109547416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.19308056591811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.61902103706015,NA,NA,NA,NA,NA,1.96180191518778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.741780393440492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00280952054152,NA,NA,NA,NA,NA,-1.72701919945452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23405826457512,NA,NA,NA,NA,-3.74212572312933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.21812420767898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RHOA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.42652132181313,NA,NA,NA,NA,NA,3.43364967437909,NA,NA,NA,NA,NA,0.285210815497159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.50749766089489,NA,NA,NA,NA,NA,NA,NA,-1.18793952218066,NA,NA,NA,NA,NA,NA,NA,-0.410643058527196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28635367176815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1338926355523,NA,NA,NA,NA,1.66571115929725,NA,NA,NA,-0.847616186283649,NA,NA,NA,NA,1.26903639640137,NA,1.44448665336063,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66538617863249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99333566564131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125592174524438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85866802725681,0.806690933532234,NA,NA,NA,NA,-3.34937308067908,NA,NA,NA,NA,-0.605230508344985,NA,0.813806951759931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.27519034221262
"RNPS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMNDC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.87522693059682,NA,NA,NA,-1.82723466828212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48557135125063,1.44296100164079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.90079288322942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17745472248234,2.40653622333101,1.84179956933328,-2.39839631333119,NA,-2.16149337008454,NA,2.00864332909541,-2.07700347321595,NA,-1.18813313665872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.80140495458277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04762703738739,-2.10196199298846,NA,NA,NA,NA,NA,2.11075689754136,NA,0.372079819771091,NA,0.940299758615181,NA,NA,NA,NA,NA,NA,NA,NA,2.93104281811209,NA,NA,NA,NA,NA,-1.02224773160795,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.49214716134289,NA,2.11801813656203,1.96296089176342,NA,NA,NA,NA,NA,-1.81135535548907,NA,2.18376686710282,NA,2.21207129574466,-2.37534471209336,NA,0.394438524684804,NA,NA,-2.63414696005403,-2.36676288102606,NA,NA,NA,NA,-2.54206877813507,NA,-2.67861432546435,NA,NA,NA,-1.97248230553386,3.17757947221653,NA,NA,NA,-1.11346358168062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13685928961934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.47592582809158,NA,NA,NA,NA,NA,NA,NA,NA
"ATP6V0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.45194589004412,NA,-1.52402320485921,-3.97437252462387,NA,NA,NA,4.07625582385826,NA,NA,3.97736939972592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.21918100280533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0654184492857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00006788272336,NA,NA,NA,-1.89025218293809,NA,4.45170049209133,NA,NA,NA,NA,NA,NA,4.47104950086978,NA,0.602941072777883,NA,NA,NA,1.6882642571422,NA,NA,NA,NA,NA,NA,1.70021004738746,-2.60239560828943,NA,NA,NA,-1.30402231561784,NA,NA,-2.69705271811128,NA,NA,-2.15268845258502,NA,NA,NA,NA,3.25393627268778,NA,-2.44344990908259,-0.175470332763802,-1.84441758710629,NA,NA,-2.85094572988658,-2.6909013875747,-1.30921625430621,NA,-0.890506656207228,-1.79558108825823,NA,NA,NA,NA,NA,NA,NA,NA,1.68018881077144,-0.443251671827401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.59245697799999,2.03335061015325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57891694828626,NA,NA,NA,NA,NA,-3.77417522936637,NA,NA,NA,NA,NA,NA,NA,2.77224531274153,NA,NA,NA,NA,NA,-1.92660447764786,NA,2.8275880642233,NA,NA,NA,NA,NA,NA,NA,-1.44315045544401,0.448484484801175,NA,NA,2.7434476372552,2.52604577487204,NA,NA,NA,NA,NA,NA,-1.69572557736822,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70366462210706
"RPS6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.43529302893572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.95771770305927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34183464602098,NA,NA,NA,0.450702306659909,NA,3.37868783369391,NA,-1.3831851738532,NA,NA,NA,-2.44773430785776,2.32401349515616,NA,-1.26482376557151,NA,NA,-2.14075733996678,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66243660119196,NA,NA,NA,NA,0.588066510209369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.30512565406256,NA,NA,NA,NA,NA,NA,NA,NA,1.86751048184201,NA,NA,-1.80590473787592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92621712777728,NA,1.89547850104,NA,NA,NA,NA,2.06561792214326,NA,1.71119094655875,NA,NA,NA,-1.31849726233931,NA,NA,NA,NA,NA,NA,-0.294349733712282,NA,NA,NA,NA,NA,NA,NA,1.643843248513,-0.67999350989354,NA,NA,-2.38914676499454,2.06337806019297,NA,0.165175823362893,NA,NA,NA,-1.29163990832189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.35650568318273,NA,6.46520956526953,-3.97922948006907,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92502380472095,2.07669714747198,3.16208522226864,3.89319983899836,NA,NA,NA,NA,1.17155140944588,-1.67039574524844,NA,NA,-3.47069589128997,-2.82425796510838,2.4080778693325,NA,2.24638180712946,NA,NA,0.657183670929568,NA,-1.76830118616195,NA,NA,NA,NA,NA,NA,NA,NA
