"","hsa01521","hsa01522","hsa01523","hsa01524","hsa03013","hsa03015","hsa03018","hsa03440","hsa03460","hsa04010","hsa04012","hsa04014","hsa04015","hsa04020","hsa04022","hsa04024","hsa04060","hsa04062","hsa04064","hsa04066","hsa04068","hsa04071","hsa04072","hsa04080","hsa04110","hsa04114","hsa04115","hsa04122","hsa04130","hsa04136","hsa04137","hsa04140","hsa04141","hsa04150","hsa04151","hsa04152","hsa04210","hsa04211","hsa04213","hsa04217","hsa04218","hsa04261","hsa04270","hsa04310","hsa04330","hsa04340","hsa04350","hsa04360","hsa04370","hsa04371","hsa04380","hsa04390","hsa04392","hsa04510","hsa04512","hsa04514","hsa04520","hsa04530","hsa04540","hsa04550","hsa04610","hsa04611","hsa04612","hsa04614","hsa04620","hsa04621","hsa04622","hsa04623","hsa04625","hsa04630","hsa04650","hsa04657","hsa04658","hsa04659","hsa04660","hsa04662","hsa04664","hsa04666","hsa04668","hsa04670","hsa04672","hsa04710","hsa04713","hsa04714","hsa04720","hsa04722","hsa04723","hsa04724","hsa04725","hsa04726","hsa04727","hsa04728","hsa04730","hsa04740","hsa04742","hsa04744","hsa04750","hsa04810","hsa04910","hsa04911","hsa04912","hsa04913","hsa04914","hsa04915","hsa04916","hsa04917","hsa04918","hsa04919","hsa04920","hsa04921","hsa04922","hsa04923","hsa04924","hsa04925","hsa04926","hsa04927","hsa04928","hsa04930","hsa04931","hsa04932","hsa04933","hsa04934","hsa04940","hsa04950","hsa04960","hsa04961","hsa04962","hsa04970","hsa04971","hsa04972","hsa04973","hsa04976","hsa04979","hsa05010","hsa05012","hsa05014","hsa05016","hsa05020","hsa05030","hsa05031","hsa05032","hsa05034","hsa05100","hsa05110","hsa05120","hsa05130","hsa05131","hsa05132","hsa05133","hsa05134","hsa05140","hsa05142","hsa05143","hsa05144","hsa05145","hsa05146","hsa05150","hsa05152","hsa05160","hsa05161","hsa05162","hsa05163","hsa05164","hsa05165","hsa05166","hsa05167","hsa05168","hsa05169","hsa05200","hsa05203","hsa05205","hsa05206","hsa05210","hsa05211","hsa05212","hsa05213","hsa05214","hsa05215","hsa05216","hsa05217","hsa05218","hsa05219","hsa05220","hsa05221","hsa05222","hsa05223","hsa05224","hsa05225","hsa05226","hsa05230","hsa05231","hsa05310","hsa05320","hsa05321","hsa05322","hsa05323","hsa05330","hsa05332","hsa05412","hsa05414","hsa05416","hsa05418","hsa04150v1","hsa04150v2"
"DDR1",1.77566369274802,NA,NA,2.93106477819856,NA,NA,NA,NA,NA,NA,3.07220412922123,NA,NA,-1.08614064416967,2.63813682771003,NA,NA,NA,NA,-3.14888138248664,-3.14844389940424,-4.16742826219928,-3.17981669784226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.890578693714112,2.87179786343506,NA,-1.97417459277688,NA,1.00703724222839,NA,-2.4398336319173,NA,NA,NA,NA,-1.13933643170516,-0.484228367996024,-2.09079323669005,-1.95579852371891,NA,NA,NA,NA,NA,NA,NA,-2.26821990104714,-0.63852289629623,NA,NA,-1.68281738203755,NA,NA,-2.71681338648003,NA,1.61855746063899,4.90802502033753,NA,-1.76178385954484,NA,NA,NA,3.48340186683386,NA,NA,0.194144953755411,-1.91812073097285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03631897830286,-1.25583382847372,NA,NA,NA,0.0394889176222382,NA,NA,2.41843184479507,0.611604983319825,NA,NA,NA,-0.223150678155279,NA,NA,NA,NA,-1.02430810284968,NA,NA,NA,4.00995361007569,2.14802258895658,NA,-1.05846814882615,NA,NA,NA,3.82442372081298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.301976429583211,NA,1.78674953145434,NA,1.47007629571602,NA,NA,NA,1.97874742580955,NA,0.405028052604316,NA,NA,1.68241609218055,NA,NA,NA,NA,1.9348972656809,NA,NA,-0.0944395942717678,NA,NA,4.75967609611788,NA,NA,NA,NA,NA,-2.25372195969824,4.35276208315439,4.21388861826763,0.880305453127729,-1.14940891657611,-2.75794228929456,NA,1.70071545676529,2.17579706174169,2.56489461955347,NA,2.35826762858646,-1.85723998475646,-3.45088542147624,-0.676211207696242,NA,NA,3.6694053954001,1.02958804727049,2.19181810329692,0.028991276139371,-2.17379110157992,NA,NA,-0.0801247951035955,0.750792661297247,-1.76814074507417,NA,NA,NA,0.344616086536984,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.520882216666932
"PAX8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08514793771795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5523389851442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.91232863384645,NA,1.26062404814493,NA,NA,NA,NA,1.49250697078149,NA,-1.0330576836552,5.00300432873139,NA,NA,NA,NA,NA,NA,NA,NA,0.95457731829986,NA,1.80216078854088,-2.22311627107413,NA,NA,NA,NA,NA,-0.0959917135462954,3.88242627047773,4.90377297351201,NA,NA,5.06316006376352,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.4088716176596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.30642727338458,NA,NA,-2.50611814838178,NA,NA,NA,NA,NA,NA,2.47119772825933,NA,NA,NA,2.10706498668932,NA,2.61853182630489,NA,2.54181996238178,-1.88614174124782,NA,-3.62845152063538,NA,NA,NA,-5.00108309366819,NA,NA,NA,NA,-2.51097651562169,NA,NA,NA,NA,NA,NA,NA,-1.05918878485459,1.13349890615094,NA,NA,-2.47953413396809,-0.506595598341559,NA,-3.11682093042223,NA,NA,NA,2.40098552267699,NA,-1.73977001115842,NA,NA,NA,NA,NA,NA,NA,4.02249361845823,NA,NA,NA,6.55592299594418,NA,4.55041496145001,-1.20761127839321,NA,NA,6.59495758138788,NA,NA,NA,NA,-1.3341507858399,NA,5.57447505855834,NA,-1.53347159434941,-2.53661513668132,-4.17760080611734,5.77109630558408,NA,NA,NA,NA,NA,NA,NA,NA,3.86670492342595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPS5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.160593923000028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.32363639611286,NA,NA,-0.459137032506939,NA,NA,NA,NA,NA,1.34610132752351,NA,NA,NA,NA,NA,NA,NA,NA,-0.101189065336671,NA,NA,NA,NA,NA,NA,NA,NA,-0.930983571549381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74632444049445,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.20581269477121,NA,NA,NA,-1.48812999055107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCF1",NA,NA,NA,-2.64449108215206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01617577009643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14117798218727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63276945487466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00933482929646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6138234752761,NA
"SPAG7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06061352773658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37893762322014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63315718033295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RHOA",NA,-1.87761186492379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.69031380116188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81646153989323,NA,NA,NA,NA,-1.73075724128796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23010723296055,NA,NA,NA,NA,1.18732569758749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.28059184409149,1.51482149949759,2.40733964462661,NA,NA,NA,NA,NA,NA,NA,1.56650847437772,-2.16436276506414,NA,NA,NA,NA,NA,NA,NA,NA,1.00789536924913,NA,NA,NA,NA,NA,NA,-2.5703389245398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.00108402461876,NA,NA,NA,-1.02540416103986,NA,NA,NA,NA,NA,NA,NA,4.58693520376412,NA,NA,NA,NA,NA,NA,NA,NA,2.18509101329093,NA,NA,NA,2.25944282492966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.70584319471689
"RNPS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.45129530856189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.169534646214148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02215824478314,NA,NA,NA,NA,-1.21650382378862,NA,NA,NA,NA,NA,NA,NA,-0.880069425280173,NA,1.35114388755632,NA,NA,NA,NA,NA,NA,NA,NA,-0.940860061455323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58947234103362,NA,2.25267545744283,NA,NA,NA,NA,NA,1.33024560642364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.59732130977595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.33442316698759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMNDC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66961646961205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22431848856687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15492210888355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.45230058243476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.52351677609836,NA,NA,NA,NA,NA,NA,NA,NA,-1.44282559833668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP6V0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.40007473214892,-0.760275327528059,NA,NA,NA,NA,NA,-3.77824807795005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.970340533657744,NA,NA,-1.71444194662255,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2724228232071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.15265272520878,NA,NA,1.84724229509873,NA,NA,NA,NA,NA,NA,NA,NA,-1.4165216105718,NA,-2.63363185974503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.01932818370779,NA,NA,NA,NA,NA,NA,-3.13477977421611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.04679152641701,-2.32649252532378,-2.71412488753432,NA,NA,NA,NA,NA,NA,NA,1.18862529018975,NA,NA,NA,NA,NA,2.79846780381046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.642145850486762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60986624739251,NA,NA,NA,NA,NA,NA,NA,NA
"RPS6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.03398623001912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90786756553379,NA,NA,NA,NA,NA,NA,NA,-0.856122118949191,2.06667273394446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8345327150681,NA,NA,NA,NA,1.45647798958986,NA,NA,NA,NA,NA,NA,NA,NA,-1.11989265412555,NA,NA,NA,NA,NA,NA,NA,NA,0.59033582298699,NA,NA,NA,-1.16022241768661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.23537795555634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28347846786572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.404602700783675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.83273135370167,2.52418735372089,-1.9995844290779,NA,NA,0.00344261014043706,-1.88725594822119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76353746975686,0.028318007358127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
