"","hsa01521","hsa01522","hsa01523","hsa01524","hsa03013","hsa03015","hsa03018","hsa03440","hsa03460","hsa04010","hsa04012","hsa04014","hsa04015","hsa04020","hsa04022","hsa04024","hsa04060","hsa04062","hsa04064","hsa04066","hsa04068","hsa04071","hsa04072","hsa04080","hsa04110","hsa04114","hsa04115","hsa04122","hsa04130","hsa04136","hsa04137","hsa04140","hsa04141","hsa04150","hsa04151","hsa04152","hsa04210","hsa04211","hsa04213","hsa04217","hsa04218","hsa04261","hsa04270","hsa04310","hsa04330","hsa04340","hsa04350","hsa04360","hsa04370","hsa04371","hsa04380","hsa04390","hsa04392","hsa04510","hsa04512","hsa04514","hsa04520","hsa04530","hsa04540","hsa04550","hsa04610","hsa04611","hsa04612","hsa04614","hsa04620","hsa04621","hsa04622","hsa04623","hsa04625","hsa04630","hsa04650","hsa04657","hsa04658","hsa04659","hsa04660","hsa04662","hsa04664","hsa04666","hsa04668","hsa04670","hsa04672","hsa04710","hsa04713","hsa04714","hsa04720","hsa04722","hsa04723","hsa04724","hsa04725","hsa04726","hsa04727","hsa04728","hsa04730","hsa04740","hsa04742","hsa04744","hsa04750","hsa04810","hsa04910","hsa04911","hsa04912","hsa04913","hsa04914","hsa04915","hsa04916","hsa04917","hsa04918","hsa04919","hsa04920","hsa04921","hsa04922","hsa04923","hsa04924","hsa04925","hsa04926","hsa04927","hsa04928","hsa04930","hsa04931","hsa04932","hsa04933","hsa04934","hsa04940","hsa04950","hsa04960","hsa04961","hsa04962","hsa04970","hsa04971","hsa04972","hsa04973","hsa04976","hsa04979","hsa05010","hsa05012","hsa05014","hsa05016","hsa05020","hsa05030","hsa05031","hsa05032","hsa05034","hsa05100","hsa05110","hsa05120","hsa05130","hsa05131","hsa05132","hsa05133","hsa05134","hsa05140","hsa05142","hsa05143","hsa05144","hsa05145","hsa05146","hsa05150","hsa05152","hsa05160","hsa05161","hsa05162","hsa05163","hsa05164","hsa05165","hsa05166","hsa05167","hsa05168","hsa05169","hsa05200","hsa05203","hsa05205","hsa05206","hsa05210","hsa05211","hsa05212","hsa05213","hsa05214","hsa05215","hsa05216","hsa05217","hsa05218","hsa05219","hsa05220","hsa05221","hsa05222","hsa05223","hsa05224","hsa05225","hsa05226","hsa05230","hsa05231","hsa05310","hsa05320","hsa05321","hsa05322","hsa05323","hsa05330","hsa05332","hsa05412","hsa05414","hsa05416","hsa05418","hsa04150v1","hsa04150v2"
"DDR1",-1.51150473902212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.67868058862853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33068632591947,NA,NA,NA,-0.193706909739257,NA,1.76637986424604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.36773555798871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8160597869143,NA,1.99421909752166,NA,NA,NA,NA,NA,NA,NA,-2.35850382686467,NA,NA,NA,NA,NA,-0.908815773721477,NA,NA,NA,NA,-2.58906637340348,-1.79175558563655,NA,NA,NA,NA,-1.41428014583538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.545160026907,NA,NA,NA,NA,NA,NA,NA,-1.30518910522367,NA,NA,NA,NA,NA,NA,-1.69791155531096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95898910937709,NA,NA,4.91871362452652,NA,-2.48373995095395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.97499965053054,NA,NA,NA,-3.15593228159905,NA,NA,NA,NA,NA,NA,NA,NA,-1.60265356819457,3.22981240995628,NA,NA,NA,2.15860280561339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAX8",NA,NA,NA,2.8962930257347,NA,NA,NA,NA,NA,1.25178761475922,NA,NA,NA,NA,-1.61390672699873,NA,NA,NA,NA,0.0811301445653372,NA,-1.89266851680227,NA,NA,NA,NA,-1.98475044551608,NA,NA,NA,NA,NA,NA,NA,-1.17057695877088,NA,NA,NA,NA,0.975397306389614,NA,NA,NA,NA,NA,NA,NA,NA,2.04268776154447,2.20638466148573,-1.00333037917649,NA,NA,NA,NA,NA,NA,NA,-1.34944678733502,-1.49423931686232,NA,NA,NA,NA,1.01578533196079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.43379952744254,NA,NA,1.78783992440092,NA,NA,NA,NA,-1.64082292498742,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.14977216397131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67798450677196,NA,NA,NA,NA,NA,1.60553905642232,NA,NA,NA,NA,NA,NA,NA,NA,2.48130097359334,0.929144684377891,NA,NA,NA,2.02658841644367,NA,NA,NA,NA,NA,NA,NA,NA,2.291956684605,NA,2.81206506922273,-0.269932916056795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54148908226287,NA,NA,-0.880882573782612,NA,NA,NA,NA,-2.39577500187286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71766553592743,NA,NA,-1.43205618300353,NA,NA,NA,NA,1.78291790714719,NA,NA,NA,NA,NA,NA,NA,NA
"RPS5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.880870059056709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.14231884247014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4725123219465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.14810382639929,NA,NA,-1.67519456329177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPAG7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5261177942151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.161242811168571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78718237994152,NA,1.35335494127012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.64396155600054,NA,NA,-1.08577207443073,NA,NA,NA,NA,1.89520611106528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.874737417503192,NA,NA,NA,NA,NA,NA,NA,NA,-2.19684301237626,NA,NA,NA,NA,NA,NA,2.42373257187907,NA,-1.58211281545381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61639237307561,NA,NA,NA,-2.6288059228921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45072195436467
"RHOA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0885124026586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.712031813978784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1452744521064,NA,NA,NA,-0.499385682398448,NA,NA,NA,NA,-1.23657891430086,NA,NA,NA,NA,1.74136541281448,NA,-1.68519868976265,NA,NA,NA,NA,NA,NA,NA,-0.414993927584848,NA,NA,NA,NA,1.89313620127412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.31315887869124,NA,NA,-1.37933949284404,-3.09301826565871,NA,NA,NA,NA,NA,NA,NA,2.66487457681481,-1.958858662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82463243705943,NA,NA,NA,NA,NA,NA,NA,2.06479344553741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.01323031386516,-3.00556019244271,NA,NA,NA,NA,NA,NA,-1.70283588188166,NA,NA,4.75184374651781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNPS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53116379336565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27527470635752,NA,NA,NA,NA,NA,NA,NA,-1.59536900281469,NA,1.82319844460742,NA,NA,NA,NA,NA,NA,NA,NA,-0.610682092663773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.85861036811333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66747138694284,NA,NA,NA,NA,NA,NA,NA,NA,-1.31225326160836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.77902884948532,NA,NA,NA,NA,NA,NA,NA,NA,-2.32570181584345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38733065206887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01641246163633,NA,NA
"SMNDC1",NA,NA,NA,2.85128356869167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.928438313859051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.773434757916562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23827967179873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26621307432481,NA,-1.21670424795202,NA,-1.04457461641517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.53230937915138,NA,-1.15429364062345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06517218417964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.45912952890934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82026948234339,NA,1.50108201086999,NA
"ATP6V0B",-1.71669982741245,NA,NA,NA,NA,NA,NA,NA,NA,1.33505675204487,NA,-3.39764376237517,NA,NA,NA,NA,NA,NA,1.2154941214433,NA,NA,-1.31218530030281,-4.11279594850454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.03394667567845,NA,-1.60756182778077,NA,-1.48859643971942,NA,NA,NA,NA,NA,-2.14131345003271,NA,NA,NA,2.13908959419227,NA,-3.27315813492632,-1.5349056656298,NA,NA,NA,NA,NA,NA,NA,-2.87116807343317,NA,NA,NA,NA,NA,-2.67606732215693,2.3804452110095,-1.78747116900501,NA,2.57525704418781,NA,NA,-2.48961611967969,-2.84930833670732,3.92735121915002,NA,NA,1.01357940709338,-1.52120867498494,NA,NA,NA,NA,NA,NA,NA,-2.16299293193316,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.40421592573547,-2.85749016373015,NA,NA,-1.87171711950036,NA,3.3392237361626,NA,NA,2.51122299124756,NA,-3.48731284041146,NA,NA,1.39842017411041,NA,NA,NA,-2.60022899787149,NA,NA,NA,NA,1.72335882606514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07111772054977,NA,NA,NA,NA,NA,NA,0.3991663466355,NA,-2.02195904569527,NA,-3.07032518338401,NA,NA,NA,NA,NA,NA,NA,2.57578595953601,NA,NA,NA,-4.0843897325792,NA,NA,NA,NA,NA,3.53338367802935,2.97302527565971,NA,3.21326196799198,NA,NA,NA,NA,NA,NA,-1.98320145236974,-1.58410190566219,NA,2.83829534881226,NA,NA,1.9654881948819,NA,NA,NA,NA,2.25967346762712,1.75550894159758,NA,1.56323309214576,-1.93587914086766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPS6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
