"","hsa01521","hsa01522","hsa01523","hsa01524","hsa03013","hsa03015","hsa03018","hsa03440","hsa03460","hsa04010","hsa04012","hsa04014","hsa04015","hsa04020","hsa04022","hsa04024","hsa04060","hsa04062","hsa04064","hsa04066","hsa04068","hsa04071","hsa04072","hsa04080","hsa04110","hsa04114","hsa04115","hsa04122","hsa04130","hsa04136","hsa04137","hsa04140","hsa04141","hsa04150","hsa04151","hsa04152","hsa04210","hsa04211","hsa04213","hsa04217","hsa04218","hsa04261","hsa04270","hsa04310","hsa04330","hsa04340","hsa04350","hsa04360","hsa04370","hsa04371","hsa04380","hsa04390","hsa04392","hsa04510","hsa04512","hsa04514","hsa04520","hsa04530","hsa04540","hsa04550","hsa04610","hsa04611","hsa04612","hsa04614","hsa04620","hsa04621","hsa04622","hsa04623","hsa04625","hsa04630","hsa04650","hsa04657","hsa04658","hsa04659","hsa04660","hsa04662","hsa04664","hsa04666","hsa04668","hsa04670","hsa04672","hsa04710","hsa04713","hsa04714","hsa04720","hsa04722","hsa04723","hsa04724","hsa04725","hsa04726","hsa04727","hsa04728","hsa04730","hsa04740","hsa04742","hsa04744","hsa04750","hsa04810","hsa04910","hsa04911","hsa04912","hsa04913","hsa04914","hsa04915","hsa04916","hsa04917","hsa04918","hsa04919","hsa04920","hsa04921","hsa04922","hsa04923","hsa04924","hsa04925","hsa04926","hsa04927","hsa04928","hsa04930","hsa04931","hsa04932","hsa04933","hsa04934","hsa04940","hsa04950","hsa04960","hsa04961","hsa04962","hsa04970","hsa04971","hsa04972","hsa04973","hsa04976","hsa04979","hsa05010","hsa05012","hsa05014","hsa05016","hsa05020","hsa05030","hsa05031","hsa05032","hsa05034","hsa05100","hsa05110","hsa05120","hsa05130","hsa05131","hsa05132","hsa05133","hsa05134","hsa05140","hsa05142","hsa05143","hsa05144","hsa05145","hsa05146","hsa05150","hsa05152","hsa05160","hsa05161","hsa05162","hsa05163","hsa05164","hsa05165","hsa05166","hsa05167","hsa05168","hsa05169","hsa05200","hsa05203","hsa05205","hsa05206","hsa05210","hsa05211","hsa05212","hsa05213","hsa05214","hsa05215","hsa05216","hsa05217","hsa05218","hsa05219","hsa05220","hsa05221","hsa05222","hsa05223","hsa05224","hsa05225","hsa05226","hsa05230","hsa05231","hsa05310","hsa05320","hsa05321","hsa05322","hsa05323","hsa05330","hsa05332","hsa05412","hsa05414","hsa05416","hsa05418","hsa04150v1","hsa04150v2"
"DDR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.30242491089522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.38795687467331,NA,NA,NA,-1.02265804272397,NA,0.852815109953922,NA,-2.01496015751564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35409298144983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.20404957336924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32654132735481,NA,NA,NA,NA,NA,NA,-1.41991588456924,NA,NA,NA,NA,NA,NA,NA,1.49618749908781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.87959835214655,NA,NA,NA
"PAX8",NA,NA,NA,-2.73288278648731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.209189389115769,NA,NA,NA,NA,-1.40822635687407,-1.31651265623301,NA,NA,NA,NA,NA,NA,NA,-0.467485826807287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05521209968515,NA,NA,-2.49170742511168,NA,NA,NA,NA,NA,NA,-1.75926208359094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.23900287541636,NA,NA,NA,NA,2.46995929056639,0.920781629635012,2.98616026409461,NA,NA,NA,NA,NA,NA,NA,NA,2.01369542492389,NA,NA,1.52827939589409,NA,-1.77802893809679,NA,NA,NA,2.60500390652456,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.668484392080144,NA,NA,NA,-1.28375862633063,NA,NA,NA,-1.77021091421635,NA,NA,-0.691749747919341,NA,1.39809610643357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55958549708183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.46285910358822,NA,NA,NA,NA,NA,-1.96026477052451,-1.14477935958201,NA,2.24266511212343,NA,3.14882924470481,NA,2.25736534276824,-1.42427433652538,NA,NA,2.11553999667632,NA,NA,NA,2.90823663931984,1.64583509183425,NA,NA,0.237697382617928,3.49217884437136,0.420705066636037,NA,-1.02075455744895,1.43897358020842,NA,NA,3.64287216949405,NA,2.67442589907282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53969346457859,-2.6704935327953,2.66823937400715,NA,NA,NA,NA,NA,-1.18234766845833,NA,NA,1.0223509939638,NA,-1.61043020647089,NA,NA,NA,NA,NA,NA,NA,1.39879192243642
"RPS5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3388866344387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.72603900445279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.33996035936154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPAG7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.53978389892492,NA,NA,NA,3.02527274517488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RHOA",NA,2.50540646523391,NA,1.79965064920638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.13370372927298,1.23133333332919,NA,NA,NA,NA,NA,0.199604587499257,NA,-0.620724965527062,NA,NA,NA,NA,NA,NA,2.28851352541891,NA,1.89279643309646,NA,2.31580790046625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8793369064122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.84498637954463,NA,-1.91110932355963,NA,NA,NA,NA,NA,-1.19220548036354,NA,NA,1.1042472908961,NA,NA,NA,NA,NA,-2.2068429549104,1.27100789356217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38446680671061,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.146284857574371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60430719172412,NA,NA,NA,NA,1.65881425001689,0.415437708027073,NA,NA,NA,1.53089259277536,-3.14715163031005,0.949588393211302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76140590794597,-1.79059940379646,NA
"RNPS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.669470316452378,NA,NA,NA,NA,NA,NA,NA,1.02201558216438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMNDC1",NA,NA,NA,-1.92920494229189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.22090250733368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85505039915975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.74832456410549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP6V0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.240588484775685,NA,NA,NA,NA,NA,NA,NA,NA,1.0966113579595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56665226626414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.03406231195912,NA,1.72824803262459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58698987934375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42893229361226,NA,NA,NA,NA,NA,-1.67265420922627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23948907212122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPS6",NA,-0.950326901189172,NA,-2.26274362718562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.70406747269516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187597872169951,NA,NA,NA,NA,NA,NA,NA,NA,3.76131074069298,NA,-1.74114778798934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.919573647212554,NA,-0.262829689308353,-1.48635093867905,NA,NA,NA,NA,1.37513132807148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4729196332784,NA,NA,NA,-0.881834507886275,NA,NA,NA,NA,NA,NA,NA,NA,2.74223780886621,NA,1.09178572369233,NA,NA,NA,NA,NA,NA,-0.527266142182923,NA,1.66076750445587,NA,NA,-1.67899840989674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.96041723319967,NA,NA,NA,NA,NA,-1.19928081772891,NA,NA,NA,0.706003298723651,NA,-0.928906299147795,NA,NA,NA,NA,2.43011399366255,NA,NA,NA,NA,NA,NA,NA,-0.70293347176099,NA,-0.12958189189909,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.422667654763687,NA,NA,0.727745580682394,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51212461900981,NA,NA,NA,NA,NA,0.417006316334603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USP22",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27026466630286,NA,NA,NA,NA,NA,NA,NA,NA,-0.497177433205454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.072191060608431,-1.26926031644677,-0.819928874680558,NA,NA,NA,NA,1.03313955684589,-0.774571746465933,NA,-0.622898809717595,NA,-1.2941325922024,-1.47417571712282,NA,NA,NA,NA,NA,NA,NA,2.0748375335445,NA,NA,-1.19260575844989,NA,NA,NA,-1.03793835454439,NA,NA,-0.880225487781135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.37108797801067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23052347168954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.71359470148998,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.36533443217155,NA,-1.06435964944796,NA,2.28429268934622,NA,NA,NA,NA,NA,-0.850407554404203,NA,NA,NA,3.04144859094981,NA,NA,NA,NA,NA,NA,NA,NA,-0.361114651509048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34158952446707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APP",-0.312345305549187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36256168960071,NA,NA,5.14575509445175,NA,NA,NA,NA,0.16365897561884,NA,NA,NA,0.99104139303759,NA,NA,NA,NA,NA,NA,NA,1.2853567490982,2.27782717678769,NA,NA,NA,NA,NA,NA,NA,NA,-1.42342194566675,NA,NA,2.16802351924495,NA,3.9240682908504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7935358694419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.59970421412315,NA,NA,NA,-0.570714150371812,NA,NA,NA,0.902457077105697,NA,NA,NA,NA,NA,NA,-1.66624859984778,NA,NA,NA,1.75728912040249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.60177167546593,NA,NA,-1.58475099377086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.78546097921574,NA,-0.0765937584789542,NA,NA,NA,NA,NA,NA,-1.96025967306819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40282243499941,NA,NA,1.89430227418283,NA,-0.458469036050238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.472741427709849,NA,NA,NA,NA,0.0103869245079463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64222054710655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75430743976568,-1.45452634837374
"MLEC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.35895455929462,NA,NA,NA,NA,NA,2.16160996101375,NA,NA,NA,NA,NA,-1.29359215161607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.05161004901546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0197726398700692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CSRP1",NA,3.2111325971853,NA,NA,NA,NA,NA,NA,NA,2.36029901960252,NA,2.86318728726166,NA,NA,NA,NA,NA,NA,-1.81238720585289,NA,-1.29490647279599,NA,-3.06884971039524,NA,NA,NA,NA,NA,-1.15948254911825,NA,NA,NA,NA,NA,NA,NA,2.09899511458871,1.44247732920683,1.73478354824834,NA,-0.563184823149437,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.71933155676906,-1.68802858285886,NA,NA,-1.21093706104634,NA,NA,NA,NA,NA,NA,NA,2.36019219595391,NA,NA,-2.1644865653067,-1.74131320562217,-1.58606634352602,NA,NA,-1.1189519331289,NA,2.08209919274757,-1.42400579515835,-2.69762127653895,-2.16085228607209,NA,-1.70952149922239,NA,NA,NA,-1.3475898537402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.02021015057936,-1.97426114178311,NA,NA,NA,-2.60217188630479,NA,1.89836453978223,NA,-1.8361323037883,NA,-2.03613370392132,NA,NA,-1.88040776477653,-1.59563989822999,NA,NA,NA,NA,NA,NA,-1.70848793036858,NA,NA,NA,NA,-1.4057335045077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.05275188808943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43889508738752,NA,NA,-2.31060008466242,-2.68229144714442,NA,NA,-1.56611830454099,4.94362809150009,NA,1.75629434689697,-1.27176011733628,-2.3936725463825,NA,NA,NA,-1.19137012237777,NA,NA,NA,2.58338983584646,-1.15798411002333,-3.35537477058873,NA,NA,-0.127816648629507,NA,1.09991449746971,2.60116967739019,-1.98180803568779,-1.35514934733705,-2.08880567272558,2.46853309610645,-2.86186400505711,-2.15000970245401,NA,NA,NA,1.37512683142118,NA,-1.84834619641098,NA,NA,NA,NA,NA,NA,NA,NA
"CALM3",NA,NA,NA,1.53392410223144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67258240129316,NA,NA,NA,NA,NA,2.7427921624463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.99713537966642,NA,NA,2.90655407359075,NA,NA,2.04517245254526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0841722708159928,NA,NA,NA,NA,0.456481151554895,NA,NA,NA,NA,NA,-2.9082351248564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.37989601742789,4.91882082971095,NA,NA,NA,3.42835390309652,NA,NA,NA,NA,NA,3.53596846111117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
