"","hsa01521","hsa01522","hsa01523","hsa01524","hsa03013","hsa03015","hsa03018","hsa03440","hsa03460","hsa04010","hsa04012","hsa04014","hsa04015","hsa04020","hsa04022","hsa04024","hsa04060","hsa04062","hsa04064","hsa04066","hsa04068","hsa04071","hsa04072","hsa04080","hsa04110","hsa04114","hsa04115","hsa04122","hsa04130","hsa04136","hsa04137","hsa04140","hsa04141","hsa04150","hsa04151","hsa04152","hsa04210","hsa04211","hsa04213","hsa04217","hsa04218","hsa04261","hsa04270","hsa04310","hsa04330","hsa04340","hsa04350","hsa04360","hsa04370","hsa04371","hsa04380","hsa04390","hsa04392","hsa04510","hsa04512","hsa04514","hsa04520","hsa04530","hsa04540","hsa04550","hsa04610","hsa04611","hsa04612","hsa04614","hsa04620","hsa04621","hsa04622","hsa04623","hsa04625","hsa04630","hsa04650","hsa04657","hsa04658","hsa04659","hsa04660","hsa04662","hsa04664","hsa04666","hsa04668","hsa04670","hsa04672","hsa04710","hsa04713","hsa04714","hsa04720","hsa04722","hsa04723","hsa04724","hsa04725","hsa04726","hsa04727","hsa04728","hsa04730","hsa04740","hsa04742","hsa04744","hsa04750","hsa04810","hsa04910","hsa04911","hsa04912","hsa04913","hsa04914","hsa04915","hsa04916","hsa04917","hsa04918","hsa04919","hsa04920","hsa04921","hsa04922","hsa04923","hsa04924","hsa04925","hsa04926","hsa04927","hsa04928","hsa04930","hsa04931","hsa04932","hsa04933","hsa04934","hsa04940","hsa04950","hsa04960","hsa04961","hsa04962","hsa04970","hsa04971","hsa04972","hsa04973","hsa04976","hsa04979","hsa05010","hsa05012","hsa05014","hsa05016","hsa05020","hsa05030","hsa05031","hsa05032","hsa05034","hsa05100","hsa05110","hsa05120","hsa05130","hsa05131","hsa05132","hsa05133","hsa05134","hsa05140","hsa05142","hsa05143","hsa05144","hsa05145","hsa05146","hsa05150","hsa05152","hsa05160","hsa05161","hsa05162","hsa05163","hsa05164","hsa05165","hsa05166","hsa05167","hsa05168","hsa05169","hsa05200","hsa05203","hsa05205","hsa05206","hsa05210","hsa05211","hsa05212","hsa05213","hsa05214","hsa05215","hsa05216","hsa05217","hsa05218","hsa05219","hsa05220","hsa05221","hsa05222","hsa05223","hsa05224","hsa05225","hsa05226","hsa05230","hsa05231","hsa05310","hsa05320","hsa05321","hsa05322","hsa05323","hsa05330","hsa05332","hsa05412","hsa05414","hsa05416","hsa05418","hsa04150v1","hsa04150v2"
"DDR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAX8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89252669746379,NA,NA,NA,NA,NA,NA,2.71595798700631,NA,-2.39365221961385,NA,NA,NA,NA,NA,NA,NA,NA,1.6768805300151,NA,NA,NA,NA,-0.0781118186197226,NA,NA,NA,NA,NA,NA,NA,NA,-4.88453098490306,NA,NA,NA,NA,-0.918481725922168,0.462219495484124,-3.20808813185104,NA,NA,NA,NA,2.56223832838928,NA,NA,NA,1.71471272562361,1.76588046278174,NA,NA,NA,NA,NA,NA,NA,-1.36074755513326,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2037852315239,1.81547363509652,NA,NA,NA,NA,2.14374223845921,NA,NA,NA,NA,NA,NA,NA,NA,2.89668395618714,-1.5416667376896,NA,NA,NA,NA,NA,2.63294220976455,3.00296312249327,NA,NA,NA,NA,1.1593840974803,NA,NA,NA,NA,2.50995630937578,NA,NA,NA,NA,2.10633007443789,1.7135978916866,NA,NA,NA,NA,NA,NA,NA,NA,-1.65369826365663,-0.414492010289678,2.11927065468758,NA,NA,NA,NA,NA,-1.64832461614392,-1.25597948288571,NA,NA,NA,NA,NA,-1.87367695180783,NA,-1.98425540309164,1.14136001526993,NA,NA,NA,NA,NA,NA,2.1232113312105,1.03742396016011,NA,NA,4.03313957970885,1.44149910363575,NA,NA,NA,NA,3.13346412466573,NA,1.31734169729691,-5.21689240789606,NA,NA,NA,NA,NA,NA,NA,2.66496293653338,1.78078760264714,NA,NA,1.08321440634395,NA,-4.59339527799629,NA,NA,1.12895951096631,0.668536974032095,NA,NA,NA,3.2590448371226,3.34158640082003,NA,NA,NA,-1.53549235511143,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.25718953618222,NA,0.268272597444737,NA
"RPS5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.34223441040041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.92362718930154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.79792983325247,NA,NA,NA,3.19005116916206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.73288641469427,NA,NA,NA,NA,NA,NA,NA,NA
"SPAG7",NA,0.779488427989397,NA,1.65849033208228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84327661479892,NA,NA,NA,NA,NA,NA,NA,NA,-0.899318313492223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7080286798496,NA,NA,3.63666570664018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11785453839592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.613295343888486,NA,NA,NA,NA,NA,NA,NA,NA,-3.39159141873915,NA,-1.01310791089292,0.427060426281992,NA,NA,NA,NA,NA,NA,NA,-1.63783804525719,NA,NA,NA,NA,NA,NA,NA,NA,0.416154450555823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.47858692783607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.60314186071172,NA,NA,NA,0.0787371533091144,NA,1.44755933841264,NA,NA,NA,NA,-2.42960416065271,NA,NA,NA,NA,NA,NA,NA,NA,-0.933213349264642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02742439743248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RHOA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNPS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7335160897504,NA,NA,2.29235208494129,NA,NA,NA,NA,-1.73669657713104,NA,NA,-1.53048045209203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.14997057070318,NA,-1.32614286046884,NA,-0.869956114006398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.75385505855402,NA,NA,NA,NA,NA,-3.10612943138722,-0.117733404522657,1.91651842888314,NA,NA,NA,3.80339225509231,NA,NA,NA,NA,NA,NA,NA,NA,1.64136088666676,NA,NA,-1.02816066057498,-1.21610448596864,NA,-1.95891033148202,NA,NA,NA,NA,NA,NA,-1.80418029971744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17734166618147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.30135384516708,NA,2.17776685336155,NA,NA,NA,NA,NA,NA,-1.46121102757502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.21986309139589,NA,NA,5.73648873634295,NA,-3.16424169114462,-1.57940492962064,NA,NA,NA,NA,NA,-1.0221254422823,NA,NA,-2.16134380598041,-1.07896327083098,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.43292424556418,NA,-2.1614515817755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMNDC1",NA,NA,NA,2.25697318387477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.611823535623143,NA,NA,NA,NA,NA,NA,-0.696612673614305,NA,-1.34071951182759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53251859128218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44838815686127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.839119711025542,NA,NA,NA,NA,NA,NA,NA,NA,-2.83909948053126,NA,NA,NA,NA,NA,NA,NA,NA,-1.16271319254298,NA,NA,NA,NA,2.06392964617263,NA,NA,NA,NA,NA,NA,1.65255193797652,NA,NA,NA,NA,-1.11487548274603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06531790951125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.00982187595151,NA,NA,NA
"ATP6V0B",-4.76577673796349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.50083209226552,NA,NA,NA,NA,NA,NA,-2.17932026522122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.87025960433168,NA,-3.72370401591774,NA,-1.67335568905917,NA,NA,NA,NA,-2.36820660968631,NA,3.24429323954878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.74999992748713,NA,NA,NA,NA,-1.69876670200461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.52508611033711,NA,NA,NA,-1.46897825226217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50742047118962,-2.50815572288814,NA,4.75799180168264,NA,NA,NA,-1.38254533433486,NA,NA,NA,-0.258955396906465,NA,-2.0846543468669,NA,NA,NA,NA,-1.38140678357564,NA,3.33160631442017,NA,NA,NA,NA,NA,NA,-1.47193887689801,-0.970592162513644,NA,NA,NA,NA,NA,NA,NA,-0.95053837968806,NA,NA,1.66716483677255,2.17158304134686,NA,NA,NA,NA,NA,NA,NA,2.26461733344524,NA,NA,3.22813947187431,NA,NA,NA,NA,NA,NA,NA,NA,-3.98966187026413,NA,NA,NA,NA,NA,-3.3158304239209,NA,NA,NA,NA,-3.10909556336972,NA,NA,NA,NA,NA,-1.87410788758512,3.8691287344879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.66875968510763,NA,NA,NA,NA,1.86994922856007,NA,-2.13401772478181,NA,NA,NA,NA,NA,NA,NA,NA
"RPS6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
