"","hsa01521","hsa01522","hsa01523","hsa01524","hsa03013","hsa03015","hsa03018","hsa03440","hsa03460","hsa04010","hsa04012","hsa04014","hsa04015","hsa04020","hsa04022","hsa04024","hsa04060","hsa04062","hsa04064","hsa04066","hsa04068","hsa04071","hsa04072","hsa04080","hsa04110","hsa04114","hsa04115","hsa04122","hsa04130","hsa04136","hsa04137","hsa04140","hsa04141","hsa04150","hsa04151","hsa04152","hsa04210","hsa04211","hsa04213","hsa04217","hsa04218","hsa04261","hsa04270","hsa04310","hsa04330","hsa04340","hsa04350","hsa04360","hsa04370","hsa04371","hsa04380","hsa04390","hsa04392","hsa04510","hsa04512","hsa04514","hsa04520","hsa04530","hsa04540","hsa04550","hsa04610","hsa04611","hsa04612","hsa04614","hsa04620","hsa04621","hsa04622","hsa04623","hsa04625","hsa04630","hsa04650","hsa04657","hsa04658","hsa04659","hsa04660","hsa04662","hsa04664","hsa04666","hsa04668","hsa04670","hsa04672","hsa04710","hsa04713","hsa04714","hsa04720","hsa04722","hsa04723","hsa04724","hsa04725","hsa04726","hsa04727","hsa04728","hsa04730","hsa04740","hsa04742","hsa04744","hsa04750","hsa04810","hsa04910","hsa04911","hsa04912","hsa04913","hsa04914","hsa04915","hsa04916","hsa04917","hsa04918","hsa04919","hsa04920","hsa04921","hsa04922","hsa04923","hsa04924","hsa04925","hsa04926","hsa04927","hsa04928","hsa04930","hsa04931","hsa04932","hsa04933","hsa04934","hsa04940","hsa04950","hsa04960","hsa04961","hsa04962","hsa04970","hsa04971","hsa04972","hsa04973","hsa04976","hsa04979","hsa05010","hsa05012","hsa05014","hsa05016","hsa05020","hsa05030","hsa05031","hsa05032","hsa05034","hsa05100","hsa05110","hsa05120","hsa05130","hsa05131","hsa05132","hsa05133","hsa05134","hsa05140","hsa05142","hsa05143","hsa05144","hsa05145","hsa05146","hsa05150","hsa05152","hsa05160","hsa05161","hsa05162","hsa05163","hsa05164","hsa05165","hsa05166","hsa05167","hsa05168","hsa05169","hsa05200","hsa05203","hsa05205","hsa05206","hsa05210","hsa05211","hsa05212","hsa05213","hsa05214","hsa05215","hsa05216","hsa05217","hsa05218","hsa05219","hsa05220","hsa05221","hsa05222","hsa05223","hsa05224","hsa05225","hsa05226","hsa05230","hsa05231","hsa05310","hsa05320","hsa05321","hsa05322","hsa05323","hsa05330","hsa05332","hsa05412","hsa05414","hsa05416","hsa05418","hsa04150v1","hsa04150v2"
"DDR1",-0.780044319165928,0.0534314977537959,NA,NA,NA,NA,NA,NA,NA,-1.05030289005495,NA,NA,NA,-1.9711252257033,3.83852090681268,NA,NA,NA,NA,NA,-0.85327076491642,NA,NA,NA,NA,NA,1.0441078711167,NA,NA,NA,NA,NA,NA,NA,2.03410684469575,1.23419761286119,NA,1.38473705530485,NA,NA,NA,NA,NA,-0.0107289903766166,1.23446200971162,NA,NA,NA,NA,NA,NA,-2.26314916354384,NA,NA,-1.2306349685619,NA,NA,NA,0.773271550039865,-1.93584144126938,NA,NA,NA,NA,-1.43212162537014,-0.233436218078185,-0.990766342294872,-1.10044286114726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.63601184309233,NA,NA,NA,NA,NA,NA,NA,-1.23734080690897,-0.751725832284802,NA,NA,-0.825293235103021,NA,NA,NA,NA,NA,NA,NA,NA,1.64133311810684,NA,1.28335761341965,-1.28375744374499,NA,NA,-0.562829985860956,NA,NA,NA,NA,NA,NA,NA,2.42408624614371,NA,NA,NA,-1.91606044326316,NA,NA,NA,1.49403924386104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50037337602592,NA,NA,NA,NA,-1.13335961983361,-1.08862167978322,-1.37735966395294,1.7444113194079,NA,-0.97955740974981,-0.0166121073006409,-0.950207909828537,NA,-0.905987491240388,NA,NA,NA,NA,NA,-0.366734240724074,NA,NA,0.458843861960238,-0.748182289392472,NA,-0.534731192691166,2.14869509254385,NA,-1.37525075550709,NA,NA,NA,NA,NA,NA,NA,-1.982207028511,NA,NA,NA,NA,NA,-2.43915504726246,NA,NA,-1.09803411120803,1.31386970848466,NA,NA,NA,NA,NA,NA,NA,-1.36148249365914,-1.99880973372743,NA,NA,-1.28101753324551,NA,NA,NA,NA,NA,NA,NA,-0.0223584413365709,-1.62587284286675,0.257686664785998
"PAX8",3.07564230690321,-1.52895617573998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.47889575323766,NA,NA,NA,NA,NA,NA,0.534122994217913,NA,1.63691320642471,NA,NA,NA,NA,NA,2.67742510180324,-1.27705369557349,NA,1.48767971418438,NA,NA,NA,NA,NA,NA,1.0683003441325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12135887039825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.58883841280067,NA,2.22027998276639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.66418182034331,NA,NA,NA,NA,1.49750009831953,NA,-2.03614766188145,NA,NA,NA,NA,NA,NA,0.352448053383655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.52032124181218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPS5",NA,NA,NA,-3.85399528535955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.51843474415612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.10139918642178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08811633021716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.36515882454928,NA,NA,NA,NA,NA,NA,1.68760117678271,NA,NA,NA,-1.506561036791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91637679677524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.73861030312389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79327156260593,NA
"ABCF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.22824833301113,NA,NA,NA,NA,NA,NA,NA,NA,-0.972911029903576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.09842687896002,1.06573512773386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.0212103629179,NA,NA,NA,-1.25520810360001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.73551254702605,NA,-1.83440973747183,NA,NA,NA,NA,NA,-1.32766153906201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.644953026171933,NA,NA,NA,NA,NA,NA,NA,NA,-0.890221729730608,-0.712475354214842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62063596616665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPAG7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RHOA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.78709473537693,NA,NA,NA,NA,NA,NA,-1.85127486849106,NA,0.022589702695959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25362894426748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.76244268258976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNPS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.09907365571792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMNDC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP6V0B",NA,NA,NA,3.43343459211255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.19748908176843,NA,NA,NA,1.09159903426798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67026885304096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08632359946319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.46576803258341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.43202530402008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.81419499776744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45368746247747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPS6",-3.09699753187467,1.6323770377352,NA,-5.50170108945241,NA,NA,NA,NA,NA,4.20565334436412,-3.25586111444201,-1.32183879961815,NA,2.38787850926048,NA,NA,NA,-0.463823110436879,-1.90120854316075,-1.40817695992963,NA,4.38798444117406,-1.87349300619341,NA,NA,NA,0.51857212191661,NA,2.39255948757269,NA,NA,NA,NA,NA,NA,3.77261567073559,1.13326020247912,-2.01763796103726,2.15847593314347,-3.13859713017699,NA,NA,NA,2.51465834008261,NA,NA,NA,NA,2.05659822832478,-2.5872760058234,-2.58554067480715,NA,NA,NA,NA,NA,NA,NA,NA,-2.3926459366258,NA,-1.32561411779099,NA,NA,NA,-3.15820706800845,-1.03095650947392,-1.78114930657495,-2.86428361832374,2.9547698293072,1.27824162884776,NA,-1.28490511179255,-2.43744324943367,2.27733970123051,-1.48777682860475,NA,NA,-1.66958782262915,NA,NA,NA,NA,-0.665786865945716,NA,NA,-1.82144348908082,-0.926703189034509,-2.22366697732643,NA,-1.73405112894276,NA,-1.02862419777169,-2.67109149821424,NA,NA,NA,-3.10038217418582,NA,NA,2.14702203684028,-0.585511047248563,NA,NA,NA,NA,NA,NA,0.614880457009504,NA,NA,-3.07750579882706,-0.857971828149577,NA,NA,NA,NA,NA,NA,4.10327834539784,NA,-2.77557869098582,NA,NA,NA,-2.40399827850157,NA,-1.80517605814918,0.65706192980989,NA,NA,NA,NA,-1.45114017796925,-3.51577913040119,2.94381475422771,NA,1.02889693979092,0.56009432142573,NA,-0.34279102546437,NA,NA,-1.38123909694191,-2.47449459128877,NA,-3.13835428267098,-3.60832412462033,-2.47253190489337,-1.83856451867659,-2.50924171262692,-3.04902161365324,NA,NA,-3.32400649596585,-0.607913413670445,NA,-2.10199758395352,-3.47611929215847,NA,3.25469653498679,NA,-3.14710834879678,1.33896146138484,4.34173878894627,4.33932857492054,2.60759790445238,-2.76825154011983,-1.63219177258632,NA,4.81896595300681,NA,3.20704003906951,-2.41854039560098,NA,-1.56760732738169,NA,NA,NA,NA,-2.1114124714075,-2.02229517491629,NA,-1.57117401418582,-0.840453896770122,2.17310355693005,-0.914941183177582,1.22117391400999,4.34866142297682,2.10715382610012,NA,NA,NA,0.522087685778123,NA,NA,NA,NA,NA,NA,3.29979670306172,-3.10754952194055,NA,NA
